Algorithm,"Sec.
Level",FF,LUT,"Clock
(nsec)",Latency,Latency1
"CRYSTALS
Kyber",1,40720,230540,15,56345,1
Newhope,1,26257,135689,15,681191,12.08964416
FrodoKEM,1,14516,82265,10,469217,8.327571213
NTRU-HRSS,1,6633,33845,15,1496914,26.56693584
LEDACrypt,1,8774,90308,10,37832,0.67143491
Saber,3,38495,214764,15,499812,8.870565268
"Classic
McEliece",5,60264,840384,10,5128978,91.02809477
"CRYSTALS
Dilithium",1,25926,133461,10,609828,10.82310764
SPHINCS+,1,8641,31147,10,628778326,11159.43431
qTELSA,1,41978,232582,10,125374,2.225113142
MQDSS,2,35263,193320,15,49365597,876.1309255
